Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Adame,Adrián Gutiérrez,A.~G.~Adame,False,"Instituto de F\'{\i}sica Te\'{o}rica (IFT) UAM/CSIC, Universidad Aut\'{o}noma de Madrid, Cantoblanco, E-28049, Madrid, Spain",
Aguilar,Jessica Nicole,J.~Aguilar,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Ahlen,Steven,S.~Ahlen,True,"Physics Dept., Boston University, 590 Commonwealth Avenue, Boston, MA 02215, USA",0000-0001-6098-7247
Alam,Shadab,S.~Alam,False,"Tata Institute of Fundamental Research, Homi Bhabha Road, Mumbai 400005, India",0000-0002-3757-6359
Alexander,David,D.~M.~Alexander,False,"Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham, DH1 3LE, UK",0000-0002-5896-6313
Alexander,David,D.~M.~Alexander,False,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-5896-6313
Alvarez,Marcelo,M.~Alvarez,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Alves,Otávio,O.~Alves,False,"University of Michigan, Ann Arbor, MI 48109, USA",
Anand,Abhijeet,A.~Anand,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-2923-1585
Andrade,Uendert,U.~Dos Santos Andrade,False,"University of Michigan, Ann Arbor, MI 48109, USA",
Armengaud,Eric,E.~Armengaud,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0000-0001-7600-5148
Avila,Santiago,S.~Avila,False,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0001-5043-3662
Aviles,Alejandro,A.~Aviles,False,"Instituto de Ciencias F\'{\i}sicas, Universidad Aut\'onoma de M\'exico, Cuernavaca, Morelos, 62210, M\'exico",0000-0001-5998-3986
Awan,Humna,H.~Awan,False,"University of Michigan, Ann Arbor, MI 48109, USA",
Bahr-Kalus,Benedict,B.~Bahr-Kalus,False,"Universit\’e Claude Bernard Lyon 1, CNRS/IN2P3, IP2I, Lyon, France",0000-0002-4578-4019
Bailey,Stephen,S.~Bailey,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-4162-6619
Bault,Abigail,A.~Bault,True,"Department of Physics and Astronomy, University of California, Irvine, 92697, USA",0000-0002-9964-1005
Bautista,Julian,J.~Bautista,False,"Aix Marseille Univ, CNRS/IN2P3, CPPM, Marseille, France",
Behera,Jayashree,J.~Behera,False,"Department of Physics, Kansas State University, 116 Cardwell Hall, Manhattan, KS 66506, USA",
BenZvi,Segev,S.~BenZvi,True,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",0000-0001-5537-4710
Beutler,Florian,F.~Beutler,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0003-0467-5438
Bianchi,Davide,D.~Bianchi,False,"Dipartimento di Fisica ``Aldo Pontremoli'', Universit\`a degli Studi di Milano, Via Celoria 16, I-20133 Milano, Italy",0000-0001-9712-0006
Blake,Chris,C.~Blake,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",0000-0002-5423-5919
Blum,Robert,R.~Blum,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",0000-0002-8622-4237
Brieden,Samuel,S.~Brieden,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0003-3896-9215
Brodzeller,Allyson,A.~Brodzeller,False,"Department of Physics and Astronomy, The University of Utah, 115 South 1400 East, Salt Lake City, UT 84112, USA",0000-0002-8934-0954
Brooks,David,D.~Brooks,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",
Brown,Zachery,Z.~Brown,False,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",
Buckley-Geer,Elizabeth,E.~Buckley-Geer,True,"Department of Astronomy and Astrophysics, University of Chicago, 5640 South Ellis Avenue, Chicago, IL 60637, USA",
Buckley-Geer,Elizabeth,E.~Buckley-Geer,True,"Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA",
Burtin,Etienne,E.~Burtin,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Calderon,Rodrigo,R.~Calderon,False,"Korea Astronomy and Space Science Institute, 776, Daedeokdae-ro, Yuseong-gu, Daejeon 34055, Republic of Korea",
Canning,Rebecca,R.~Canning,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Carnero Rosell,Aurelio,A.~Carnero Rosell,False,"Departamento de Astrof\'{\i}sica, Universidad de La Laguna (ULL), E-38206, La Laguna, Tenerife, Spain",0000-0003-3044-5150
Carnero Rosell,Aurelio,A.~Carnero Rosell,False,"Instituto de Astrof\'{i}sica de Canarias, C/ Vía L\'{a}ctea, s/n, E-38205 La Laguna, Tenerife, Spain \\  Universidad de La Laguna, Dept. de Astrof\'{\i}sica, E-38206 La Laguna, Tenerife, Spain",0000-0003-3044-5150
Cereskaite,Rasa,R.~Cereskaite,False,"Department of Physics and Astronomy, University of Sussex, Brighton BN1 9QH, U.K",
Cervantes-Cota,Jorge  L.,J.~L.~Cervantes-Cota,False,"Departamento de F\'{i}sica, Instituto Nacional de Investigaciones Nucleares, Carreterra M\'{e}xico-Toluca S/N, La Marquesa,  Ocoyoacac, Edo. de M\'{e}xico C.P. 52750,  M\'{e}xico",0000-0002-3057-6786
Chabanier,Solène,S.~Chabanier,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-5692-5243
Chaussidon,Edmond,E.~Chaussidon,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-8996-4874
Chaves-Montero,Jonás,J.~Chaves-Montero,False,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0002-9553-4261
Chen,Xinyi,X.~Chen,False,"Physics Department, Yale University, P.O. Box 208120, New Haven, CT 06511, USA",
Claybaugh,Todd,T.~Claybaugh,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Cole,Shaun,S.~Cole,True,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-5954-7903
Cuceu,Andrei,A.~Cuceu,False,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0002-2169-0595
Davis,Tamara,T.~M.~Davis,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",0000-0002-4213-8783
Dawson,Kyle,K.~Dawson,True,"Department of Physics and Astronomy, The University of Utah, 115 South 1400 East, Salt Lake City, UT 84112, USA",
de la Cruz,Rodrigo,R.~de la Cruz,False,"Departamento de F\'{i}sica, Universidad de Guanajuato - DCI, C.P. 37150, Leon, Guanajuato, M\'{e}xico",0000-0001-9908-9129
de la Macorra,Axel ,A.~de la Macorra,True,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0000-0002-1769-1640
de Mattia,Arnaud,A.~de~Mattia,False,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Deiosso,Nicola,N.~Deiosso,False,"CIEMAT, Avenida Complutense 40, E-28040 Madrid, Spain",0000-0002-7311-4506
Demina,Regina,R.~Demina,False,"Department of Physics \& Astronomy, University of Rochester, 206 Bausch and Lomb Hall, P.O. Box 270171, Rochester, NY 14627-0171, USA",
Dey,Arjun,A.~Dey,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",0000-0002-4928-4003
Dey,Biprateep,B.~Dey,True,"Department of Physics \& Astronomy and Pittsburgh Particle Physics, Astrophysics, and Cosmology Center (PITT PACC), University of Pittsburgh, 3941 O'Hara Street, Pittsburgh, PA 15260, USA",0000-0002-5665-7912
Ding,Zhejie,Z.~Ding,False,None,0000-0002-3369-3718
Ding,Jiani,J.~Ding,False,"Department of Astronomy and Astrophysics, UCO/Lick Observatory, University of California, 1156 High Street, Santa Cruz, CA 95064, USA",
Doel,Peter,P.~Doel,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",
Edelstein,Jerry,J.~Edelstein,True,"Space Sciences Laboratory, University of California, Berkeley, 7 Gauss Way, Berkeley, CA  94720, USA",
Edelstein,Jerry,J.~Edelstein,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",
Eftekharzadeh,Sarah,S.~Eftekharzadeh,True,"Universities Space Research Association, NASA Ames Research Centre",
Eisenstein,Daniel,D.~J.~Eisenstein,True,"Center for Astrophysics $|$ Harvard \& Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA",
Elliott,Ann,A.~Elliott,True,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0001-6537-6453
Elliott,Ann,A.~Elliott,True,"The Ohio State University, Columbus, 43210 OH, USA",0000-0001-6537-6453
Fagrelius,Parker,P.~Fagrelius,True,"NSF's NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",
Fanning,Kevin,K.~Fanning,True,"Kavli Institute for Particle Astrophysics and Cosmology, Stanford University, Menlo Park, CA 94305, USA",0000-0003-2371-3356
Fanning,Kevin,K.~Fanning,True,"SLAC National Accelerator Laboratory, Menlo Park, CA 94305, USA",0000-0003-2371-3356
Ferraro,Simone,S.~Ferraro,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-4992-7854
Ferraro,Simone,S.~Ferraro,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0003-4992-7854
Ferrer Ereza,Julia ,J.~Ereza,False,"Instituto de Astrof\'{i}sica de Andaluc\'{i}a (CSIC), Glorieta de la Astronom\'{i}a, s/n, E-18008 Granada, Spain",0000-0002-0194-4017
Findlay,Nathan,N.~Findlay,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Font-Ribera,Andreu,A.~Font-Ribera,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0002-3033-7312
Forero Sánchez,Daniel Felipe,D.~Forero-Sánchez,False,"Ecole Polytechnique F\'{e}d\'{e}rale de Lausanne, CH-1015 Lausanne, Switzerland",0000-0001-5957-332X
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Departamento de F\'isica, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio Ip, CP 111711, Bogot\'a, Colombia",0000-0002-2890-3725
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Observatorio Astron\'omico, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio H, CP 111711 Bogot\'a, Colombia",0000-0002-2890-3725
Frenk,Carlos,C.~S.~Frenk,False,"Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK",0000-0002-2338-716X
Garcia-Quintero,Cristhian,C.~Garcia-Quintero,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0003-1481-4294
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institut d'Estudis Espacials de Catalunya (IEEC), 08034 Barcelona, Spain",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, 08913 Bellaterra, Barcelona, Spain",
Gil-Marín,Héctor,H.~Gil-Mar\'in,False,"Instituto de C\`{\i}encias del Cosmoc, (ICCUB) Universidad de Barcelona (IEEC-UB), Mart\'{\i} i Franqu\`{e}s 1, E08028 Barcelona, Spain",0000-0003-0265-6217
Gontcho A Gontcho,Satya ,S.~Gontcho A Gontcho,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3142-233X
Gonzalez-Perez,Violeta,V.~Gonzalez-Perez,False,"Centro de Investigaci\'{o}n Avanzada en F\'{\i}sica Fundamental (CIAFF), Facultad de Ciencias, Universidad Aut\'{o}noma de Madrid, ES-28049 Madrid, Spain",0000-0001-9938-2755
Gonzalez-Perez,Violeta,V.~Gonzalez-Perez,False,"Instituto de F\'{\i}sica Te\'{o}rica (IFT) UAM/CSIC, Universidad Aut\'{o}noma de Madrid, Cantoblanco, E-28049, Madrid, Spain",0000-0001-9938-2755
Gordon,Calum,C.~Gordon,False,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",
Green,Dylan,D.~Green,False,"Department of Physics and Astronomy, University of California, Irvine, 92697, USA",0000-0002-0676-3661
Gruen,Daniel,D.~Gruen,False,"Excellence Cluster ORIGINS, Boltzmannstrasse 2, D-85748 Garching, Germany",
Gruen,Daniel,D.~Gruen,False,"University Observatory, Faculty of Physics, Ludwig-Maximilians-Universit\""{a}t, Scheinerstr. 1, 81677 M\""{u}nchen, Germany",
Gsponer,Rafaela  ,R.~Gsponer,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-2312-3121
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0002-2312-3121
Hahn,ChangHoon,C.~Hahn,True,"Department of Astrophysical Sciences, Princeton University, Princeton NJ 08544, USA",0000-0003-1197-0902
Hanif,Malik Muhammad Sikandar,M.~M.~S~Hanif,False,"University of Michigan, Ann Arbor, MI 48109, USA",0009-0006-2583-5006
Herrera-Alcantar,Hiram K.,H.~K.~Herrera-Alcantar,False,"Departamento de F\'{i}sica, Universidad de Guanajuato - DCI, C.P. 37150, Leon, Guanajuato, M\'{e}xico",0000-0002-9136-9609
Honscheid,Klaus,K.~Honscheid,True,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Honscheid,Klaus,K.~Honscheid,True,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",
Honscheid,Klaus,K.~Honscheid,True,"The Ohio State University, Columbus, 43210 OH, USA",
Hou,Jiamin,J.~Hou,False,"Department of Astronomy, University of Florida, 211 Bryant Space Science Center, Gainesville, FL 32611, USA",
Howlett,Cullan,C.~Howlett,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",0000-0002-1081-9410
Huterer,Dragan,D.~Huterer,False,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",0000-0001-6558-0112
Huterer,Dragan,D.~Huterer,False,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0001-6558-0112
Irsic,Vid,V.~Ir\v{s}i\v{c},False,"Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK",0000-0002-5445-461X
Ishak,Mustapha,M.~Ishak,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0002-6024-466X
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"Center for Cosmology and AstroParticle Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0001-7336-8912
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"Department of Astronomy, The Ohio State University, 4055 McPherson Laboratory, 140 W 18th Avenue, Columbus, OH 43210, USA",0000-0001-7336-8912
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"Department of Physics, The Ohio State University, 191 West Woodruff Avenue, Columbus, OH 43210, USA",0000-0001-7336-8912
Karacayli,Naim Goksel,N.~G.~Kara{\c c}ayl{\i},False,"The Ohio State University, Columbus, 43210 OH, USA",0000-0001-7336-8912
Kent,Stephen,S.~Kent,True,"Department of Astronomy and Astrophysics, University of Chicago, 5640 South Ellis Avenue, Chicago, IL 60637, USA",0000-0003-4207-7420
Kent,Stephen,S.~Kent,True,"Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA",0000-0003-4207-7420
Kirkby,David,D.~Kirkby,True,"Department of Physics and Astronomy, University of California, Irvine, 92697, USA",0000-0002-8828-5463
Kitaura,Francisco-Shu,F.-S.~Kitaura,False,"Departamento de Astrof\'{\i}sica, Universidad de La Laguna (ULL), E-38206, La Laguna, Tenerife, Spain",0000-0002-9994-759X
Kitaura,Francisco-Shu,F.-S.~Kitaura,False,"Instituto de Astrof\'{i}sica de Canarias, C/ Vía L\'{a}ctea, s/n, E-38205 La Laguna, Tenerife, Spain \\  Universidad de La Laguna, Dept. de Astrof\'{\i}sica, E-38206 La Laguna, Tenerife, Spain",0000-0002-9994-759X
Kremin,Anthony,A.~Kremin,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-6356-7424
Krolewski,Alex,A.~Krolewski,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Krolewski,Alex,A.~Krolewski,False,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",
Krolewski,Alex,A.~Krolewski,False,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Lai,Yan,Y.~Lai,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",
Lan,Ting-Wen,T.-W.~Lan,False,"Graduate Institute of Astrophysics and Department of Physics, National Taiwan University, No. 1, Sec. 4, Roosevelt Rd., Taipei 10617, Taiwan",0000-0001-8857-7020
Lang,Dustin,D.~Lang,True,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",
Le Goff,Jean-Marc,J.M.~Le~Goff,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",
Le Guillou,Laurent,L.~Le~Guillou,True,"Sorbonne Universit\'{e}, CNRS/IN2P3, Laboratoire de Physique Nucl\'{e}aire et de Hautes Energies (LPNHE), FR-75005 Paris, France",0000-0001-7178-8868
